MAEASaM ID,Evidence,Evidence Shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climate Zone,Geometry,Grid Level 1,Grid Level 2,Remote Sensing Activity,Surveyor Name,Survey type,Survey Date,Image Type,Date of imagery,Additional information,Threat assessment date,Threat assessor name,Image used date,Threat type,Threat level,Measurement value,Measurement type,Measurement unit
RS_ETH_0000026,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5046775499409 10.8149220796115),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000027,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5048283399656 10.8139391748751),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000028,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5049872824252 10.8148200155112),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000029,Structure,Circular,Cairn,Medium,No,Barren,Desert hot,POINT (42.5052965854316 10.8133783964624),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000030,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.5052766985373 10.8134796737559),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000031,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5049782022649 10.8146411015672),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000032,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5053879569331 10.8144511122394),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000033,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5056783433852 10.8142390899199),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000034,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5058488484191 10.8141067933883),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000035,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5057071931206 10.8137712570449),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000036,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.506024359354 10.8139198836525),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000037,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5061080046486 10.8135410853325),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000038,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5064302633438 10.8136048376016),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000039,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5061440350601 10.8132617806815),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000040,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5064486892649 10.8130852776193),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000041,Structure,Semi-Circular,Tumulus,Medium,No,Barren,Desert hot,POINT (42.5015010347275 10.8147246211784),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
RS_ETH_0000042,Structure,Semi-Circular,Tumulus,Low,No,Barren,Desert hot,POINT (42.503791239091 10.8149800078208),E42.6N10.8,183468,Visual inspection,Elias Michaut,Transect,02/08/2023,Maxar,20/11/2010,,,,,,,,,
