WKT,Year,MAEASaM ID,Evidence,Evidence shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climatic zone,Relationship to other site,Chronology,Geometry type,Grid level 1,Grid level 2,Remote sensing activity,Survey type,Survey date,Surveyor name,Image type,Date of imagery,Spatial resolution (m),Assessment date,Assessor name,Date of image used,Overall condition,Disturbance effect,Extent of impact,Severity of impact,Recommendation for management of disturbance,Threat assessor name,Threat assessment date,Image used date,Threat type,Threat level,Probability of threat affecting site,Recommendation for management of threats,Additional information,Measurement type,Measurement unit,Measurement value
POINT Z (32.8006393050001 -18.3310296889999 0),year 1,RS-ZWE-0000017,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.799730351 -18.3304490999999 0),year 1,RS-ZWE-0000018,Terracing,,Terracing ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8045276420001 -18.329768456 0),year 1,RS-ZWE-0000019,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.8050659950001 -18.3295305099999 0),year 1,RS-ZWE-0000020,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,265094,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.794077545 -18.336943919 0),year 1,RS-ZWE-0000021,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.794248866 -18.3358350899999 0),year 1,RS-ZWE-0000022,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.79493891 -18.3363204999999 0),year 1,RS-ZWE-0000023,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7958811760001 -18.336610794 0),year 1,RS-ZWE-0000024,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.796252372 -18.3362205619999 0),year 1,RS-ZWE-0000025,Pit,,Pit structure,Medium,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7963856220001 -18.3357589469999 0),year 1,RS-ZWE-0000026,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7956833590001 -18.333227151 0),year 1,RS-ZWE-0000027,Pit,,Pit structure,Medium,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7961503280001 -18.3331408949999 0),year 1,RS-ZWE-0000028,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.79609679 -18.333566224 0),year 1,RS-ZWE-0000029,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7962990450001 -18.333911246 0),year 1,RS-ZWE-0000030,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/29,Renier van der Merwe,CNES/Airbus,2016/04/29,,,,,,,,,,Renier van der Merwe,2021/07/29,2016/04/29,Environmental,Low,,,,,,
POINT Z (32.7906215180001 -18.3425809739999 0),year 1,RS-ZWE-0000031,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,CNES/Airbus,2019/04/20,,,,,,,,,,Renier van der Merwe,2021/07/30,2019/04/20,Environmental,Low,,,,,,
POINT Z (32.79175652 -18.3429521699999 0),year 1,RS-ZWE-0000032,Pit,,Pit structure ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7917922120001 -18.3420170419999 0),year 1,RS-ZWE-0000033,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7927987240001 -18.342124118 0),year 1,RS-ZWE-0000034,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.79264168 -18.341353172 0),year 1,RS-ZWE-0000035,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.79334838 -18.340325245 0),year 1,RS-ZWE-0000036,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.791513815 -18.3408963159999 0),year 1,RS-ZWE-0000037,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7911568960001 -18.3410533599999 0),year 1,RS-ZWE-0000038,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,Has Walling,,,
POINT Z (32.7913853250001 -18.340432321 0),year 1,RS-ZWE-0000039,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7913210790001 -18.339589992 0),year 1,RS-ZWE-0000040,Pit,,Pit structure ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,Has Walling,,,
POINT Z (32.7903288440001 -18.340710718 0),year 1,RS-ZWE-0000041,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.789979063 -18.340353799 0),year 1,RS-ZWE-0000042,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7894865150001 -18.3398755269999 0),year 1,RS-ZWE-0000043,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.790100416 -18.339661376 0),year 1,RS-ZWE-0000044,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.788922582 -18.340867762 0),year 1,RS-ZWE-0000045,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7929486300001 -18.3387619389999 0),year 1,RS-ZWE-0000046,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7929058 -18.339033198 0),year 1,RS-ZWE-0000047,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7925702960001 -18.339097443 0),year 1,RS-ZWE-0000048,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.792527466 -18.3393687019999 0),year 1,RS-ZWE-0000049,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7925488810001 -18.340075402 0),year 1,RS-ZWE-0000050,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.79224193 -18.3407606869999 0),year 1,RS-ZWE-0000051,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7939908340001 -18.343537518 0),year 1,RS-ZWE-0000052,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.794390584 -18.343251982 0),year 1,RS-ZWE-0000053,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.795411373 -18.343651732 0),year 1,RS-ZWE-0000054,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.796810496 -18.344251356 0),year 1,RS-ZWE-0000055,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.7972887670001 -18.3439586819999 0),year 1,RS-ZWE-0000056,Pit,,Pit structure ,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,Has Walling and Terracing,,,
POINT Z (32.7913252810001 -18.345228918 0),year 1,RS-ZWE-0000057,Pit,,Pit structure,High,Unkown,Grassland,Cwb,,,Central point,E32.8S18.3,264614,Visual inspection,Topographic,2021/07/30,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/07/30,2011/09/14,Environmental,Low,,,,,,
