WKT,Year,MAEASaM ID,Evidence,Evidence shape,Interpretation,Interpretation certainty,Ground truthed,Land use land cover,Climatic zone,Relationship to other site,Chronology,Geometry type,Grid level 1,Grid level 2,Remote sensing activity,Survey type,Survey date,Surveyor name,Image type,Date of imagery,Spatial resolution (m),Assessment date,Assessor name,Date of image used,Overall condition,Disturbance effect,Extent of impact,Severity of impact,Recommendation for management of disturbance,Threat assessor name,Threat assessment date,Image used date,Threat type,Threat level,Probability of threat affecting site,Recommendation for management of threats,Additional information,Measurement type,Measurement unit,Measurement value
POINT Z (32.644404513 -18.1342236359999 0),year1,RS-ZWE-0000837,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643823286 -18.1346401979999 0),year1,RS-ZWE-0000838,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6435657870001 -18.1346408109999 0),year1,RS-ZWE-0000839,Pit,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6442264400001 -18.1353998439999 0),year1,RS-ZWE-0000840,Enclosure,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643595084 -18.135118339 0),year1,RS-ZWE-0000841,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643891563 -18.135626058 0),year1,RS-ZWE-0000842,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6441911980001 -18.1362602799999 0),year1,RS-ZWE-0000843,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645305299 -18.136475262 0),year1,RS-ZWE-0000844,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.644588096 -18.135885027 0),year1,RS-ZWE-0000845,Enclosure,,Pit enclosure,High,Unkown,Thicket,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645594147 -18.1355333839999 0),year1,RS-ZWE-0000846,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.644270674 -18.1357411669999 0),year1,RS-ZWE-0000847,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.644319377 -18.134381608 0),year1,RS-ZWE-0000848,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6402202140001 -18.135105374 0),year1,RS-ZWE-0000849,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6482080820001 -18.1363595619999 0),year1,RS-ZWE-0000850,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6474773940001 -18.135701831 0),year1,RS-ZWE-0000851,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6494657050001 -18.135744746 0),year1,RS-ZWE-0000852,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6484845210001 -18.135565597 0),year1,RS-ZWE-0000853,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.647451114 -18.134927332 0),year1,RS-ZWE-0000854,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6476875000001 -18.1349160689999 0),year1,RS-ZWE-0000855,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.649660157 -18.1361989169999 0),year1,RS-ZWE-0000856,Enclosure,,Enclosure,High,Unkown,Thicket,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2009/08/30,,,,,,,,,,Renier van der Merwe,2021/08/31,2009/08/30,Environmental,Low,,,,,,
POINT Z (32.6502018260001 -18.1361816729999 0),year1,RS-ZWE-0000857,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2009/08/30,,,,,,,,,,Renier van der Merwe,2021/08/31,2009/08/30,Environmental,Low,,,,,,
POINT Z (32.6460833360001 -18.134880171 0),year1,RS-ZWE-0000858,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6474755740001 -18.133130448 0),year1,RS-ZWE-0000859,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,Possible enclosure with Terracing,,,
POINT Z (32.6465940410001 -18.132873639 0),year1,RS-ZWE-0000860,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.644190915 -18.13227898 0),year1,RS-ZWE-0000861,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643255679 -18.131349825 0),year1,RS-ZWE-0000862,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643282479 -18.131110292 0),year1,RS-ZWE-0000863,Enclosure,,Enclosure,High,Unkown,Thicket,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643017773 -18.130364477 0),year1,RS-ZWE-0000864,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6421785740001 -18.131004461 0),year1,RS-ZWE-0000865,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.64280968 -18.131680258 0),year1,RS-ZWE-0000866,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643090962 -18.1309207619999 0),year1,RS-ZWE-0000867,Pit,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6412405450001 -18.130294031 0),year1,RS-ZWE-0000868,Enclosure,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.643105201 -18.129489029 0),year1,RS-ZWE-0000869,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6416490070001 -18.129675059 0),year1,RS-ZWE-0000870,Enclosure,,Settelement,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6425116570001 -18.1296438329999 0),year1,RS-ZWE-0000871,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2009/08/30,,,,,,,,,,Renier van der Merwe,2021/08/31,2009/08/30,Environmental,Low,,,,,,
POINT Z (32.6424874630001 -18.130857673 0),year1,RS-ZWE-0000872,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2009/08/30,,,,,,,,,,Renier van der Merwe,2021/08/31,2009/08/30,Environmental,Low,,,,,,
POINT Z (32.635800843 -18.1275159909999 0),year1,RS-ZWE-0000873,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6321946640001 -18.1315641949999 0),year1,RS-ZWE-0000874,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6533986550001 -18.1347331269999 0),year1,RS-ZWE-0000875,Pit,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6523804130001 -18.133380346 0),year1,RS-ZWE-0000876,Enclosure,,Pit structure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.659190472 -18.1347295149999 0),year1,RS-ZWE-0000877,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6589972370001 -18.1345829059999 0),year1,RS-ZWE-0000878,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.661597697 -18.136586168 0),year1,RS-ZWE-0000879,Pit,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6617275290001 -18.133475812 0),year1,RS-ZWE-0000880,Pit,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.66060938 -18.1344025349999 0),year1,RS-ZWE-0000881,Enclosure,,Pit structure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.649647773 -18.13196697 0),year1,RS-ZWE-0000882,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6465462310001 -18.1297450989999 0),year1,RS-ZWE-0000883,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.646537267 -18.129224695 0),year1,RS-ZWE-0000884,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645574749 -18.1291376799999 0),year1,RS-ZWE-0000885,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.644864854 -18.1289647429999 0),year1,RS-ZWE-0000886,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6464141270001 -18.1288513499999 0),year1,RS-ZWE-0000887,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6453774340001 -18.128779499 0),year1,RS-ZWE-0000888,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645744371 -18.128124553 0),year1,RS-ZWE-0000889,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.646991568 -18.1282597059999 0),year1,RS-ZWE-0000890,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.646367217 -18.1275273059999 0),year1,RS-ZWE-0000891,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6460488580001 -18.1274103109999 0),year1,RS-ZWE-0000892,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645506589 -18.126843618 0),year1,RS-ZWE-0000893,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.645742394 -18.1269184509999 0),year1,RS-ZWE-0000894,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6460005100001 -18.1269635509999 0),year1,RS-ZWE-0000895,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.647423055 -18.1271651019999 0),year1,RS-ZWE-0000896,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.647857838 -18.1274674429999 0),year1,RS-ZWE-0000897,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.647914297 -18.12624317 0),year1,RS-ZWE-0000898,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.646610592 -18.1265350959999 0),year1,RS-ZWE-0000899,Enclosure,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.646881695 -18.1264290069999 0),year1,RS-ZWE-0000900,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6458357700001 -18.1260469339999 0),year1,RS-ZWE-0000901,Enclosure,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6460997630001 -18.1260905669999 0),year1,RS-ZWE-0000902,Enclosure,,Pit enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.64653568 -18.125994218 0),year1,RS-ZWE-0000903,Enclosure,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.64814276 -18.1272170879999 0),year1,RS-ZWE-0000904,Pit,,Enclosure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6473591230001 -18.127794083 0),year1,RS-ZWE-0000905,Pit,,Pit structure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6475639440001 -18.126903543 0),year1,RS-ZWE-0000906,Pit,,Pit structure,Low,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.648470497 -18.125871673 0),year1,RS-ZWE-0000907,Pit,,Pit structure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.649167827 -18.125117646 0),year1,RS-ZWE-0000908,Pit,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261726,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.649880857 -18.1240986129999 0),year1,RS-ZWE-0000909,Enclosure,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,261725,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.650408502 -18.124009467 0),year1,RS-ZWE-0000910,Pit,,Enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262205,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.651042854 -18.124956168 0),year1,RS-ZWE-0000911,Enclosure,,Pit structure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262205,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.650862837 -18.125481839 0),year1,RS-ZWE-0000912,Pit,,Pit enclosure,High,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6563070580001 -18.126946731 0),year1,RS-ZWE-0000913,Pit,,Pit structure,Medium,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
POINT Z (32.6567760410001 -18.1265139669999 0),year1,RS-ZWE-0000914,Pit,,Pit structure,Low,Unkown,Scrub,Cwb,,,Central point,E32.6S18.1,262206,Visual inspection,Topographic,2021/08/31,Renier van der Merwe,Maxar,2011/09/14,,,,,,,,,,Renier van der Merwe,2021/08/31,2011/09/14,Environmental,Low,,,,,,
